Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:64IcdRqfcN5rwqSqJpQDDe,"In The Morning","Razorlight","Razorlight",2006-01-01,222453,59,false,,2025-09-22T17:44:20Z,"britpop,indie","EMI",0.616,0.855,4,-3.495,0,0.042,0.00379,0.000863,0.318,0.686,124.191,4
spotify:track:5jr6pG3khBcBXZRm8NogSe,"Baby I'm Yours","Baby I'm Yours","Breakbot;Irfane",2010-02-15,215786,59,false,,2025-09-22T17:44:20Z,"franse house,nu disco","Ed Banger Records",0.831,0.794,2,-3.701,0,0.0752,0.705,0.000034,0.0978,0.735,118.075,4
spotify:track:1eivMnftGIAIeTDUfTssVX,"Welcome to the DCC","Dead Club City","Nothing But Thieves",2023-06-30,197557,59,false,,2025-09-22T17:44:20Z,"","RCA Records Label",0.656,0.748,9,-4.759,0,0.0589,0.0201,0.0563,0.129,0.202,121.052,4
spotify:track:34wcz4mpAActEc6gtqX3wz,"Heavy, California","For Ever","Jungle",2018-09-14,184599,59,false,,2025-09-22T17:44:20Z,"","XL Recordings",0.674,0.713,6,-7.46,0,0.0359,0.0733,0.139,0.169,0.71,111.017,4
spotify:track:60W7Co2AoP5VVG5Gwu6p5P,"Soundcheck","The Ride","Catfish and the Bottlemen",2016-05-27,261560,58,false,,2025-09-22T17:44:20Z,"indie,indierock","Universal-Island Records Ltd.",0.602,0.755,2,-5.791,1,0.0397,0.000995,0.0799,0.412,0.646,135.042,4
spotify:track:7MfNoHB8JRNbSQ8P3eAfMQ,"T-Shirt Weather","Young Chasers (Deluxe)","Circa Waves",2015-03-30,192120,58,false,,2025-09-22T17:44:20Z,"indie","[PIAS] Recordings Catalogue",0.421,0.95,4,-4.603,1,0.0662,0.00145,0.000011,0.245,0.472,160.02,4
spotify:track:415dK4glwDO7fXxYg3np8B,"Pictures of Girls","Spring EP","Wallows",2018-04-06,204666,58,false,,2025-09-22T17:44:20Z,"indie","Atlantic Records",0.443,0.819,6,-5.502,1,0.0322,0.000248,0.00759,0.0802,0.494,154.958,4
spotify:track:0LVaveDmmoMEKhBGhVhfoI,"This Head I Hold","Mondo","Electric Guest",2012-04-23,175773,58,false,,2025-09-22T17:44:20Z,"","Asa Taccone",0.663,0.873,0,-4.915,1,0.0328,0.0268,0.0108,0.261,0.962,162.021,4
spotify:track:4E4Gxykl5nYMSIwlIVzjGr,"Going Kokomo","Sofa Kings","Royel Otis",2023-03-31,190626,57,false,,2025-09-22T17:44:20Z,"indie","House Anxiety / Ourness",0.448,0.942,0,-4.196,1,0.0478,0.00262,0.0286,0.065,0.786,171.979,4
spotify:track:4RvmQ5qbP5PxgJD0BN4EZK,"Miracle Mile","Dear Miss Lonelyhearts","Cold War Kids",2013-01-01,180133,57,false,,2025-09-22T17:44:20Z,"","Cold War Kids",0.355,0.867,2,-3.144,1,0.0738,0.00664,0.554,0.323,0.295,142.849,4
spotify:track:4yYvWFUWMaKMXtoJKJnmZk,"Shuffle","A Different Kind Of Fix","Bombay Bicycle Club",2011-01-01,235293,56,false,,2025-09-22T17:44:20Z,"indierock,indie","Universal-Island Records Ltd.",0.627,0.959,7,-4.744,1,0.0298,0.316,0.00576,0.112,0.397,109.981,4
spotify:track:5OOSqqoKCL4s7WIFNbSZPD,"brown eyes*","brown eyes*","re6ce",2024-03-21,163346,56,true,,2025-09-22T17:44:20Z,"hyperpop","Good Luck Have Fun Records",0.465,0.878,0,-5.201,0,0.222,0.0572,0,0.235,0.566,126.336,4
spotify:track:30SjdIdTMhBSe33nFnBFkC,"Temple","Mechanical Bull (Expanded Edition)","Kings of Leon",2013-09-24,250447,56,false,,2025-09-22T17:44:20Z,"","RCA/Legacy",0.475,0.644,9,-7.782,1,0.0326,0.00087,0.279,0.123,0.568,149.838,4
spotify:track:5MAKcQ6f6QvqZE21KD2AW5,"Nack Nostalgia","Nack Nostalgia","Royel Otis",2024-07-19,187433,57,false,,2025-09-22T17:44:20Z,"indie","NME",0.642,0.681,2,-5.426,1,0.0259,0.119,0.533,0.0756,0.53,96.006,4
spotify:track:5dpGwO76CAPXE2ReVxwI6r,"Love Illumination","Right Thoughts, Right Words, Right Action","Franz Ferdinand",2013-08-26,224266,56,false,,2025-09-22T17:44:20Z,"indierock","Domino Recording Co",0.53,0.856,4,-3.327,0,0.0499,0.104,0.00000381,0.16,0.814,153.302,4
spotify:track:7ti4qMC7xYQeh1uRzj5XuM,"Pumpin Blood","We Are Only What We Feel","NONONO",2014,209485,56,false,,2025-09-22T17:44:20Z,"","WM Sweden",0.618,0.848,7,-4.36,1,0.0279,0.000469,0.522,0.189,0.413,118.998,4
spotify:track:0eehHRQY2nlimtLjCI9xRf,"We Come Running","Wake Up","Youngblood Hawke",2013-01-01,247506,56,false,,2025-09-22T17:44:20Z,"","Universal Records",0.55,0.741,10,-7.022,1,0.0405,0.000323,0.00391,0.118,0.351,124.97,4
